% Parameters taken from: 
% An Orientation-dependent Hydrogen Bonding Potential Improves Prediction of 
% Specificity and Structure for Proteins and Protein–Protein Complexes.
% By Tanja Kortemme, Alexandre V. Morozova, and David Baker.
% See sup. material.
% Row: Angle - 5 deg per bin [-180, 180]
% Column: chi-helix, psi-helix, theta-helix, 
%	  chi-sheet, psi-sheet, theta-sheet, 
%	  chi-other, psi-other, theta-other
1.71,0.00,0.00,0.46,0.00,0.00,0.46,0.00,0.00   
1.47,0.00,0.00,0.55,0.00,0.00,0.34,0.00,0.00
1.26,0.00,0.00,0.54,0.00,0.00,0.25,0.00,0.00
0.97,0.00,0.00,0.58,0.00,0.00,0.18,0.00,0.00
0.49,0.00,0.00,0.29,0.00,0.00,0.13,0.00,0.00
0.14,0.00,0.00,0.29,0.00,0.00,-0.11,0.00,0.00
­-0.49,0.00,0.00,0.05,0.00,0.00,-0.46,0.00,0.00
­-1.04,0.00,0.00,-0.13,0.00,0.00,-0.61,0.00,0.00
­-1.50,0.00,0.00,-0.22,0.00,0.00,-0.69,0.00,0.00
-­1.87,0.00,0.00,-0.31,0.00,0.00,-0.92,0.00,0.00
­-2.08,0.00,0.00,-0.23,0.00,0.00,-0.92,0.00,0.00
­-2.18,0.00,0.00,-0.08,0.00,0.00,-0.91,0.00,0.00
­-2.04,0.00,0.00,-0.01,0.00,0.00,-1.02,0.00,0.00
­-1.77,0.00,0.00,0.09,0.00,0.00,-1.21,0.00,0.00
­-1.43,0.00,0.00,0.29,0.00,0.00,-1.44,0.00,0.00
­-1.11,0.00,0.00,0.44,0.00,0.00,-1.68,0.00,0.00
-1.06,0.00,0.00,0.51,0.00,0.00,-1.81,0.00,0.00
­-1.34,0.00,0.00,0.60,0.00,0.00,-1.66,0.00,0.00
­-1.64,0.00,0.00,0.64,0.00,0.00,-0.98,0.00,0.00
-0.68,0.00,0.00,0.54,0.00,0.00,-0.26,0.00,0.00
0.78,0.00,0.00,0.34,0.00,0.00,0.46,0.00,0.00
1.42,0.00,0.00,0.35,0.00,0.00,0.73,0.00,0.00
1.48,0.00,0.00,0.24,0.00,0.00,0.64,0.00,0.00
1.75,0.00,0.00,0.15,0.00,0.00,0.64,0.00,0.00
2.08,0.00,0.00,-0.04,0.00,0.00,0.63,0.00,0.00
2.10,0.00,0.00,-0.11,0.00,0.00,0.58,0.00,0.00
2.37,0.00,0.00,-0.31,0.00,0.00,0.66,0.00,0.00
2.94,0.00,0.00,-0.37,0.00,0.00,0.66,0.00,0.00
2.90,0.00,0.00,-0.36,0.00,0.00,0.77,0.00,0.00
3.67,0.00,0.00,-0.49,0.00,0.00,0.76,0.00,0.00
3.85,0.00,0.00,-0.37,0.00,0.00,0.73,0.00,0.00
3.96,0.00,0.00,-0.45,0.00,0.00,0.78,0.00,0.00
4.55,0.00,0.00,-0.42,0.00,0.00,0.83,0.00,0.00
4.08,0.00,0.00,-0.45,0.00,0.00,0.99,0.00,0.00
3.67,0.00,0.00,-0.55,0.00,0.00,0.86,0.00,0.00
3.67,0.00,0.00,-0.53,0.00,0.00,0.77,0.00,0.00
4.77,0.00,0.00,-0.49,0.00,0.00,1.01,0.00,0.00
4.21,0.00,0.00,-0.59,0.00,0.00,0.92,0.00,0.00
5.06,0.00,0.00,-0.47,0.00,0.00,1.06,0.00,0.00
5.06,0.00,0.00,-0.48,0.00,0.00,0.87,0.00,0.00
5.06,0.00,0.00,-0.58,0.00,0.00,0.92,0.00,0.00
5.06,0.00,0.00,-0.60,0.00,0.00,0.92,0.00,0.00
4.55,0.00,0.00,-0.57,0.00,0.00,0.87,0.00,0.00
5.06,0.00,0.00,-0.58,0.00,0.00,0.88,0.00,0.00
5.46,0.00,0.00,-0.30,0.00,0.00,0.85,0.00,0.00
4.77,0.00,0.00,-0.36,0.00,0.00,0.88,0.00,0.00
5.06,0.00,0.00,-0.22,0.00,0.00,1.02,0.00,0.00
5.46,0.00,0.00,-0.02,0.00,0.00,1.09,0.00,0.00
6.16,0.00,0.00,0.06,0.00,0.00,0.97,0.00,0.00
4.77,0.00,0.00,0.20,0.00,0.00,1.07,0.00,0.00
5.06,0.00,0.00,0.43,0.00,0.00,0.98,0.00,0.00
5.06,6.80,0.00,0.48,4.39,0.00,1.15,3.00,0.00
4.77,3.80,0.00,0.53,4.13,0.00,1.07,2.85,0.00
5.46,0.73,6.18,0.47,3.70,7.16,0.86,1.55,4.94
4.55,-0.61,7.27,0.40,2.79,7.16,0.61,0.30,4.69
5.06,-0.54,6.58,0.33,2.19,6.06,0.61,-0.35,3.93
5.06,0.15,4.18,0.16,1.72,5.55,0.50,-0.70,2.83
5.46,0.52,1.84,0.14,1.52,4.39,0.59,-1.03,1.88
3.85,0.88,0.13,0.26,1.44,4.07,0.57,-1.12,0.90
4.21,0.98,-0.06,0.17,1.21,3.47,0.52,-1.11,0.45
3.67,1.18,0.33,0.28,0.97,2.63,0.62,-1.09,0.20
3.45,1.08,0.60,0.31,0.44,2.09,0.57,-0.99,-0.06
3.52,0.04,0.52,0.48,-0.26,1.46,0.98,-1.06,-0.30
3.38,-1.20,0.25,0.61,-0.96,0.86,0.97,-1.41,-0.60
2.94,-2.29,-0.40,0.64,-1.56,0.00,1.05,-1.71,-0.95
3.32,-2.83,-1.22,0.50,-2.02,-0.73,1.07,-1.97,-1.36
3.52,-2.84,-2.00,0.62,-2.30,-1.52,1.26,-2.12,-1.83
2.90,-2.39,-2.57,0.61,-2.33,-2.15,1.13,-2.04,-2.29
2.79,-1.41,-2.80,0.69,-2.31,-2.49,0.94,-1.79,-2.54
2.63,-0.16,-2.59,0.61,-2.13,-2.61,0.86,-1.46,-2.45
2.15,0.89,-2.03,0.66,-2.03,-2.61,0.77,-1.20,-2.25
2.08,1.14,-1.50,0.42,-1.97,-2.75,0.71,-1.21,-2.24
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
