% Contact energy parameters
% See:
% Amino acid empirical contact energy definitions for fold recognition 
% in the space of contact maps
% by Marco Berrera, Henriette Molinari and Federico Fogolari, 2003.
% Row: AA type
-1.119,-0.327,-0.371,-0.235,-1.7,-0.323,-0.039,-0.29,-0.646,-1.872,-1.728,0.196,-1.517,-1.75,-0.374,-0.607,-0.717,-1.565,-1.318,-1.731
-0.327,0.2,-0.114,-0.584,-0.771,-0.042,-0.374,-0.05,-0.307,-0.854,-0.758,0.815,-0.611,-0.805,-0.023,-0.264,-0.247,-0.912,-0.745,-0.664
-0.371,-0.114,-0.367,-0.344,-0.788,-0.253,0.16,-0.23,-0.455,-0.669,-0.524,0.271,-0.658,-0.79,-0.018,-0.423,-0.463,-0.884,-0.67,-0.673
-0.235,-0.584,-0.344,0.179,-0.616,0.022,0.634,-0.097,-0.664,-0.402,-0.291,-0.176,-0.409,-0.482,0.189,-0.521,-0.382,-0.613,-0.631,-0.298
-1.7,-0.771,-0.788,-0.616,-3.477,-0.835,-0.179,-1.101,-1.499,-2.41,-2.343,-0.112,-2.24,-2.424,-1.196,-1.306,-1.243,-2.08,-1.892,-2.258
-0.323,-0.042,-0.253,0.022,-0.835,0.054,0.179,0.033,-0.29,-0.778,-0.729,0.334,-0.72,-0.807,-0.035,-0.26,-0.342,-0.997,-0.687,-0.642
-0.039,-0.374,0.16,0.634,-0.179,0.179,0.933,0.443,-0.324,-0.439,-0.366,-0.057,-0.209,-0.419,0.257,-0.161,-0.192,-0.624,-0.453,-0.335
-0.29,-0.05,-0.23,-0.097,-1.101,0.033,0.443,0.219,-0.325,-0.885,-0.767,0.589,-0.897,-1.034,-0.042,-0.261,-0.311,-1.142,-0.818,-0.756
-0.646,-0.307,-0.455,-0.664,-1.499,-0.29,-0.324,-0.325,-1.078,-1.234,-1.176,0.388,-1.252,-1.33,-0.346,-0.639,-0.72,-1.383,-1.222,-1.118
-1.872,-0.854,-0.669,-0.402,-2.41,-0.778,-0.439,-0.885,-1.234,-2.691,-2.647,-0.253,-2.286,-2.53,-0.991,-1.037,-1.36,-2.303,-1.998,-2.568
-1.728,-0.758,-0.524,-0.291,-2.343,-0.729,-0.366,-0.767,-1.176,-2.647,-2.501,-0.222,-2.208,-2.491,-0.771,-0.959,-1.202,-2.222,-1.919,-2.447
0.196,0.815,0.271,-0.176,-0.112,0.334,-0.057,0.589,0.388,-0.253,-0.222,1.339,-0.146,-0.27,0.661,0.223,0.155,-0.391,-0.349,-0.2
-1.517,-0.611,-0.658,-0.409,-2.24,-0.72,-0.209,-0.897,-1.252,-2.286,-2.208,-0.146,-1.901,-2.304,-0.788,-0.893,-0.999,-2.09,-1.834,-2.079
-1.75,-0.805,-0.79,-0.482,-2.424,-0.807,-0.419,-1.034,-1.33,-2.53,-2.491,-0.27,-2.304,-2.467,-1.076,-1.178,-1.237,-2.286,-1.963,-2.391
-0.374,-0.023,-0.018,0.189,-1.196,-0.035,0.257,-0.042,-0.346,-0.991,-0.771,0.661,-0.788,-1.076,0.129,-0.199,-0.222,-1.278,-1.067,-0.886
-0.607,-0.264,-0.423,-0.521,-1.306,-0.26,-0.161,-0.261,-0.639,-1.037,-0.959,0.223,-0.893,-1.178,-0.199,-0.519,-0.548,-1.145,-0.859,-0.933
-0.717,-0.247,-0.463,-0.382,-1.243,-0.342,-0.192,-0.311,-0.72,-1.36,-1.202,0.155,-0.999,-1.237,-0.222,-0.548,-0.617,-1.077,-0.892,-1.24
-1.565,-0.912,-0.884,-0.613,-2.08,-0.997,-0.624,-1.142,-1.383,-2.303,-2.222,-0.391,-2.09,-2.286,-1.278,-1.145,-1.077,-1.867,-1.834,-2.097
-1.318,-0.745,-0.67,-0.631,-1.892,-0.687,-0.453,-0.818,-1.222,-1.998,-1.919,-0.349,-1.834,-1.963,-1.067,-0.859,-0.892,-1.834,-1.335,-1.79
-1.731,-0.664,-0.673,-0.298,-2.258,-0.642,-0.335,-0.756,-1.118,-2.568,-2.447,-0.2,-2.079,-2.391,-0.886,-0.933,-1.24,-2.097,-1.79,-2.385
